pinyin_tone	full	variable	shorthand
a1	Hfff	f	f
a2	Hsdf	sdf	sf
a3	Hsss	s	s
a4	Hfds	fds	fs
a5	Hddd	d	d
ai1	Hffu	fu	fu
ai2	Hsdu	sdu	sdu
ai3	Hsso	so	so
ai4	Hfdo	fdo	fdo
an1	Hffa	fa	fa
an2	Hsda	sda	sda
an3	Hssm	sm	sm
an4	Hfdm	fdm	fdm
ang1	Hffi	fi	fi
ang2	Hsdi	sdi	sdi
ang3	Hssc	sc	sc
ang4	Hfdc	fdc	fdc
ao1	Hffv	fv	fv
ao2	Hsdv	sdv	sdv
ao3	Hssx	sx	sx
ao4	Hfdx	fdx	fdx
ba1	qfff	qf	qf
ba2	qsdf	qsdf	qsf
ba3	qsss	qs	qs
ba4	qfds	qfds	qfs
ba5	qddd	qd	qd
bai1	qffu	qfu	qfu
bai2	qsdu	qsdu	qsdu
bai3	qsso	qso	qso
bai4	qfdo	qfdo	qfdo
bai5	qdd;	qd;	qd;
ban1	qffa	qfa	qfa
ban3	qssm	qsm	qsm
ban4	qfdm	qfdm	qfdm
ban5	qddN	qdN	qdN
bang1	qffi	qfi	qfi
bang3	qssc	qsc	qsc
bang4	qfdc	qfdc	qfdc
bao1	qffv	qfv	qfv
bao2	qsdv	qsdv	qsdv
bao3	qssx	qsx	qsx
bao4	qfdx	qfdx	qfdx
bei1	qttu	qtu	qtu
bei3	qeeo	qeo	qeo
bei4	qtro	qtro	qtro
bei5	qrr;	qr;	qr;
ben1	qtta	qta	qta
ben3	qeem	qem	qem
ben4	qtrm	qtrm	qtrm
beng1	qjji	qji	qji
beng2	qlki	qlki	qlki
beng3	qllc	qlc	qlc
beng4	qjkc	qjkc	qjkc
beng5	qkkM	qkM	qkM
bi1	quuu	qu	qu
bi2	qo;u	qo;u	qou
bi3	qooo	qo	qo
bi4	qu;o	qu;o	quo
bian1	qufa	qufa	qufa
bian3	qosm	qosm	qosm
bian4	qudm	qudm	qudm
bian5	q;dN	q;dN	q;dN
biang2	qodi	qodi	qodi
biang4	qudc	qudc	qudc
biao1	qufv	qufv	qufv
biao3	qosx	qosx	qosx
biao4	qudx	qudx	qudx
bie1	qutt	qut	qut
bie2	qort	qort	qort
bie3	qoee	qoe	qoe
bie4	qure	qure	qure
bin1	quta	quta	quta
bin3	qoem	qoem	qoem
bin4	qurm	qurm	qurm
bin5	q;rN	q;rN	q;rN
bing1	quji	quji	quji
bing3	qolc	qolc	qolc
bing4	qukc	qukc	qukc
bing5	q;kM	q;kM	q;kM
bo1	qjjj	qj	qj
bo2	qlkj	qlkj	qlj
bo3	qlll	ql	ql
bo4	qjkl	qjkl	qjl
bo5	qkkk	qk	qk
bong4	qvkc	qvkc	qvkc
bu1	qvvv	qv	qv
bu2	qxgv	qxgv	qxv
bu3	qxxx	qx	qx
bu4	qvgx	qvgx	qvx
bu5	qggg	qg	qg
ca1	5fff	5f	5f
ca3	5sss	5s	5s
ca4	5fds	5fds	5fs
cai1	5ffu	5fu	5fu
cai2	5sdu	5sdu	5sdu
cai3	5sso	5so	5so
cai4	5fdo	5fdo	5fdo
cai5	5dd;	5d;	5d;
can1	5ffa	5fa	5fa
can2	5sda	5sda	5sda
can3	5ssm	5sm	5sm
can4	5fdm	5fdm	5fdm
cang1	5ffi	5fi	5fi
cang2	5sdi	5sdi	5sdi
cang3	5ssc	5sc	5sc
cang4	5fdc	5fdc	5fdc
cao1	5ffv	5fv	5fv
cao2	5sdv	5sdv	5sdv
cao3	5ssx	5sx	5sx
cao4	5fdx	5fdx	5fdx
ce4	5jkl	5jkl	5jl
cei4	5tro	5tro	5tro
cen1	5tta	5ta	5ta
cen2	5era	5era	5era
ceng1	5jji	5ji	5ji
ceng2	5lki	5lki	5lki
ceng4	5jkc	5jkc	5jkc
cha1	8fff	8f	8f
cha2	8sdf	8sdf	8sf
cha3	8sss	8s	8s
cha4	8fds	8fds	8fs
chai1	8ffu	8fu	8fu
chai2	8sdu	8sdu	8sdu
chai3	8sso	8so	8so
chai4	8fdo	8fdo	8fdo
chan1	8ffa	8fa	8fa
chan2	8sda	8sda	8sda
chan3	8ssm	8sm	8sm
chan4	8fdm	8fdm	8fdm
chang1	8ffi	8fi	8fi
chang2	8sdi	8sdi	8sdi
chang3	8ssc	8sc	8sc
chang4	8fdc	8fdc	8fdc
chang5	8ddM	8dM	8dM
chao1	8ffv	8fv	8fv
chao2	8sdv	8sdv	8sdv
chao3	8ssx	8sx	8sx
chao4	8fdx	8fdx	8fdx
che1	8jjj	8j	8j
che2	8lkj	8lkj	8lj
che3	8lll	8l	8l
che4	8jkl	8jkl	8jl
che5	8kkk	8k	8k
chen1	8tta	8ta	8ta
chen2	8era	8era	8era
chen3	8eem	8em	8em
chen4	8trm	8trm	8trm
chen5	8rrN	8rN	8rN
cheng1	8jji	8ji	8ji
cheng2	8lki	8lki	8lki
cheng3	8llc	8lc	8lc
cheng4	8jkc	8jkc	8jkc
cheng5	8kkM	8kM	8kM
chi1	8JJJ	8J	8J
chi2	8LKJ	8LKJ	8LJ
chi3	8LLL	8L	8L
chi4	8JKL	8JKL	8JL
chi5	8KKK	8K	8K
chong1	8vji	8vji	8vji
chong2	8xki	8xki	8xki
chong3	8xlc	8xlc	8xlc
chong4	8vkc	8vkc	8vkc
chou1	8jjv	8jv	8jv
chou2	8lkv	8lkv	8lkv
chou3	8llx	8lx	8lx
chou4	8jkx	8jkx	8jkx
chou5	8kkg	8kg	8kg
chu1	8vvv	8v	8v
chu2	8xgv	8xgv	8xv
chu3	8xxx	8x	8x
chu4	8vgx	8vgx	8vx
chu5	8ggg	8g	8g
chua1	8vff	8vf	8vf
chua3	8xss	8xs	8xs
chua4	8vds	8vds	8vds
chuai1	8vfu	8vfu	8vfu
chuai2	8xdu	8xdu	8xdu
chuai3	8xso	8xso	8xso
chuai4	8vdo	8vdo	8vdo
chuan1	8vfa	8vfa	8vfa
chuan2	8xda	8xda	8xda
chuan3	8xsm	8xsm	8xsm
chuan4	8vdm	8vdm	8vdm
chuang1	8vfi	8vfi	8vfi
chuang2	8xdi	8xdi	8xdi
chuang3	8xsc	8xsc	8xsc
chuang4	8vdc	8vdc	8vdc
chui1	8vtu	8vtu	8vtu
chui2	8xru	8xru	8xru
chui3	8xeo	8xeo	8xeo
chui4	8vro	8vro	8vro
chun1	8vta	8vta	8vta
chun2	8xra	8xra	8xra
chun3	8xem	8xem	8xem
chun5	8grN	8grN	8grN
chuo1	8vjj	8vj	8vj
chuo4	8vkl	8vkl	8vkl
ci1	5JJJ	5J	5J
ci2	5LKJ	5LKJ	5LJ
ci3	5LLL	5L	5L
ci4	5JKL	5JKL	5JL
cong1	5vji	5vji	5vji
cong2	5xki	5xki	5xki
cong3	5xlc	5xlc	5xlc
cong4	5vkc	5vkc	5vkc
cou1	5jjv	5jv	5jv
cou2	5lkv	5lkv	5lkv
cou3	5llx	5lx	5lx
cou4	5jkx	5jkx	5jkx
cu1	5vvv	5v	5v
cu2	5xgv	5xgv	5xv
cu3	5xxx	5x	5x
cu4	5vgx	5vgx	5vx
cuan1	5vfa	5vfa	5vfa
cuan2	5xda	5xda	5xda
cuan4	5vdm	5vdm	5vdm
cui1	5vtu	5vtu	5vtu
cui3	5xeo	5xeo	5xeo
cui4	5vro	5vro	5vro
cui5	5gr;	5gr;	5gr;
cun1	5vta	5vta	5vta
cun2	5xra	5xra	5xra
cun3	5xem	5xem	5xem
cun4	5vrm	5vrm	5vrm
cun5	5grN	5grN	5grN
cuo1	5vjj	5vj	5vj
cuo2	5xkj	5xkj	5xkj
cuo3	5xll	5xl	5xl
cuo4	5vkl	5vkl	5vkl
da1	wfff	wf	wf
da2	wsdf	wsdf	wsf
da3	wsss	ws	ws
da4	wfds	wfds	wfs
da5	wddd	wd	wd
dai1	wffu	wfu	wfu
dai3	wsso	wso	wso
dai4	wfdo	wfdo	wfdo
dai5	wdd;	wd;	wd;
dan1	wffa	wfa	wfa
dan3	wssm	wsm	wsm
dan4	wfdm	wfdm	wfdm
dan5	wddN	wdN	wdN
dang1	wffi	wfi	wfi
dang3	wssc	wsc	wsc
dang4	wfdc	wfdc	wfdc
dang5	wddM	wdM	wdM
dao1	wffv	wfv	wfv
dao2	wsdv	wsdv	wsdv
dao3	wssx	wsx	wsx
dao4	wfdx	wfdx	wfdx
dao5	wddg	wdg	wdg
de1	wjjj	wj	wj
de2	wlkj	wlkj	wlj
de5	wkkk	wk	wk
dei1	wttu	wtu	wtu
dei3	weeo	weo	weo
den4	wtrm	wtrm	wtrm
deng1	wjji	wji	wji
deng3	wllc	wlc	wlc
deng4	wjkc	wjkc	wjkc
di1	wuuu	wu	wu
di2	wo;u	wo;u	wou
di3	wooo	wo	wo
di4	wu;o	wu;o	wuo
di5	w;;;	w;	w;
dia3	woss	wos	wos
dian1	wufa	wufa	wufa
dian2	woda	woda	woda
dian3	wosm	wosm	wosm
dian4	wudm	wudm	wudm
diao1	wufv	wufv	wufv
diao3	wosx	wosx	wosx
diao4	wudx	wudx	wudx
die1	wutt	wut	wut
die2	wort	wort	wort
die3	woee	woe	woe
die4	wure	wure	wure
din4	wurm	wurm	wurm
ding1	wuji	wuji	wuji
ding3	wolc	wolc	wolc
ding4	wukc	wukc	wukc
diu1	wujv	wujv	wujv
dong1	wvji	wvji	wvji
dong3	wxlc	wxlc	wxlc
dong4	wvkc	wvkc	wvkc
dou1	wjjv	wjv	wjv
dou3	wllx	wlx	wlx
dou4	wjkx	wjkx	wjkx
du1	wvvv	wv	wv
du2	wxgv	wxgv	wxv
du3	wxxx	wx	wx
du4	wvgx	wvgx	wvx
du5	wggg	wg	wg
duan1	wvfa	wvfa	wvfa
duan3	wxsm	wxsm	wxsm
duan4	wvdm	wvdm	wvdm
dui1	wvtu	wvtu	wvtu
dui3	wxeo	wxeo	wxeo
dui4	wvro	wvro	wvro
dun1	wvta	wvta	wvta
dun3	wxem	wxem	wxem
dun4	wvrm	wvrm	wvrm
duo1	wvjj	wvj	wvj
duo2	wxkj	wxkj	wxkj
duo3	wxll	wxl	wxl
duo4	wvkl	wvkl	wvkl
duo5	wgkk	wgk	wgk
e1	Hjjj	j	j
e2	Hlkj	lkj	lj
e3	Hlll	l	l
e4	Hjkl	jkl	jl
e5	Hkkk	k	k
ei1	Httu	tu	tu
ei2	Heru	eru	eru
ei3	Heeo	eo	eo
ei4	Htro	tro	tro
en1	Htta	ta	ta
en3	Heem	em	em
en4	Htrm	trm	trm
en5	HrrN	rN	rN
eng1	Hjji	ji	ji
er2	HDSA	DSA	DA
er3	HDDD	D	D
er4	HASD	ASD	AD
er5	HSSS	S	S
fa1	[fff	[f	[f
fa2	[sdf	[sdf	[sf
fa3	[sss	[s	[s
fa4	[fds	[fds	[fs
fa5	[ddd	[d	[d
fan1	[ffa	[fa	[fa
fan2	[sda	[sda	[sda
fan3	[ssm	[sm	[sm
fan4	[fdm	[fdm	[fdm
fan5	[ddN	[dN	[dN
fang1	[ffi	[fi	[fi
fang2	[sdi	[sdi	[sdi
fang3	[ssc	[sc	[sc
fang4	[fdc	[fdc	[fdc
fang5	[ddM	[dM	[dM
fei1	[ttu	[tu	[tu
fei2	[eru	[eru	[eru
fei3	[eeo	[eo	[eo
fei4	[tro	[tro	[tro
fen1	[tta	[ta	[ta
fen2	[era	[era	[era
fen3	[eem	[em	[em
fen4	[trm	[trm	[trm
fen5	[rrN	[rN	[rN
feng1	[jji	[ji	[ji
feng2	[lki	[lki	[lki
feng3	[llc	[lc	[lc
feng4	[jkc	[jkc	[jkc
fiao4	[udx	[udx	[udx
fo2	[lkj	[lkj	[lj
fou1	[jjv	[jv	[jv
fou2	[lkv	[lkv	[lkv
fou3	[llx	[lx	[lx
fu1	[vvv	[v	[v
fu2	[xgv	[xgv	[xv
fu3	[xxx	[x	[x
fu4	[vgx	[vgx	[vx
fu5	[ggg	[g	[g
ga1	]fff	]f	]f
ga2	]sdf	]sdf	]sf
ga3	]sss	]s	]s
ga4	]fds	]fds	]fs
gai1	]ffu	]fu	]fu
gai3	]sso	]so	]so
gai4	]fdo	]fdo	]fdo
gai5	]dd;	]d;	]d;
gan1	]ffa	]fa	]fa
gan3	]ssm	]sm	]sm
gan4	]fdm	]fdm	]fdm
gang1	]ffi	]fi	]fi
gang3	]ssc	]sc	]sc
gang4	]fdc	]fdc	]fdc
gao1	]ffv	]fv	]fv
gao3	]ssx	]sx	]sx
gao4	]fdx	]fdx	]fdx
ge1	]jjj	]j	]j
ge2	]lkj	]lkj	]lj
ge3	]lll	]l	]l
ge4	]jkl	]jkl	]jl
ge5	]kkk	]k	]k
gei3	]eeo	]eo	]eo
gen1	]tta	]ta	]ta
gen2	]era	]era	]era
gen3	]eem	]em	]em
gen4	]trm	]trm	]trm
geng1	]jji	]ji	]ji
geng3	]llc	]lc	]lc
geng4	]jkc	]jkc	]jkc
gong1	]vji	]vji	]vji
