record_id	text	source_kind	compatibility_numeric_pinyin	feature_rule_id	attached_syllable_source	source_yinyuan_ids	derived_yinyuan_ids	key_projection	full_code	variable_code	shorthand_code
ERHUA-023226CBCEE8D87C	纳闷儿	psc_erhua	na4 men4 er5	ERHUA-YINYUAN-CENTRAL-ALL	men4	N04 M16 M17 M30	N04 M22 M23 M24	N04→-；M22+rhotic=true+nasalized=false→M22→ERHUA-KEY-HIGH(U)；M23+rhotic=true+nasalized=false→M23→ERHUA-KEY-MID(I)；M24+rhotic=true+nasalized=false→M24→ERHUA-KEY-LOW(O)	nfds-UIO	nfds-UIO	nfs-UO
ERHUA-025C446AF1160120	光棍儿	psc_erhua	guang1 gun4 er5	ERHUA-YINYUAN-U-CENTRAL	gun4	N09 M04 M17 M30	N09 M04 M23 M24	N09→g；M04→u；M23+rhotic=true+nasalized=false→M23→ERHUA-KEY-MID(I)；M24+rhotic=true+nasalized=false→M24→ERHUA-KEY-LOW(O)	guf;guIO	guf;guIO	guf;guIO
ERHUA-03464A312D3D9CBE	脚印儿	psc_erhua	jiao3 yin4 er5	ERHUA-YINYUAN-I-CENTRAL	yin4	N23 M01 M17 M30	N23 M01 M23 M24	N23→y；M01→j；M23+rhotic=true+nasalized=false→M23→ERHUA-KEY-MID(I)；M24+rhotic=true+nasalized=false→M24→ERHUA-KEY-LOW(O)	3lsoyjIO	3lsoyjIO	3lsoyjIO
ERHUA-03B3A9CF1B728870	手套儿	psc_erhua	shou3 tao4 er5	ERHUA-YINYUAN-IAO	tao4	N06 M10 M11 M06	N06 M10 R11 R18	N06→t；M10→f；M11+rhotic=true+nasalized=false→R11→ERHUA-KEY-A-RHOTIC-MID(D)；M06+rhotic=true+nasalized=false→R18→ERHUA-KEY-U-RHOTIC-LOW(Z)	9wwotfDZ	9wotfDZ	9wotfDZ
ERHUA-04BFA3429829BE25	梨核儿	psc_erhua	li2 hu2 er5	ERHUA-YINYUAN-U-RHOTIC	hu2	N11 M06 M05 M04	N11 M06 R17 R16	N11→h；M06→o；M05+rhotic=true+nasalized=false→R17→ERHUA-KEY-U-RHOTIC-MID(A)；M04+rhotic=true+nasalized=false→R16→ERHUA-KEY-U-RHOTIC-HIGH(P)	\lkjhoAP	\lkjhoAP	\ljhoAP
ERHUA-080D5918ACEAE9C0	一阵儿	psc_erhua	yi1 zhen4 er5	ERHUA-YINYUAN-CENTRAL-ALL	zhen4	N16 M16 M17 M30	N16 M22 M23 M24	N16→7；M22+rhotic=true+nasalized=false→M22→ERHUA-KEY-HIGH(U)；M23+rhotic=true+nasalized=false→M23→ERHUA-KEY-MID(I)；M24+rhotic=true+nasalized=false→M24→ERHUA-KEY-LOW(O)	yjjj7UIO	yj7UIO	yj7UO
ERHUA-0A839628F8BB6947	扇面儿	psc_erhua	shan4 mian4 er5	ERHUA-YINYUAN-MEDIAL-A-RHOTIC	mian4	N04 M01 M11 M30	N04 M01 R11 R12	N04→-；M01→j；M11+rhotic=true+nasalized=false→R11→ERHUA-KEY-A-RHOTIC-MID(D)；M12+rhotic=true+nasalized=false→R12→ERHUA-KEY-A-RHOTIC-LOW(S)	9fdz-jDS	9fdz-jDS	9fdz-jDS
ERHUA-0C1E4D97D2932BB2	灯泡儿	psc_erhua	deng1 pao4 er5	ERHUA-YINYUAN-IAO	pao4	N02 M10 M11 M06	N02 M10 R11 R18	N02→p；M10→f；M11+rhotic=true+nasalized=false→R11→ERHUA-KEY-A-RHOTIC-MID(D)；M06+rhotic=true+nasalized=false→R18→ERHUA-KEY-U-RHOTIC-LOW(Z)	]rr;pfDZ	]r;pfDZ	]r;pfDZ
ERHUA-0E0678A9B50F9CDD	花样儿	psc_erhua	hua1 yang4 er5	ERHUA-YINYUAN-NASAL-A	yang4	N23 M01 M11 M33	N23 M01 R05 R06	N23→y；M01→j；M11+rhotic=true+nasalized=true→R05→ERHUA-KEY-NASAL-A-RHOTIC-MID(T)；M12+rhotic=true+nasalized=true→R06→ERHUA-KEY-NASAL-A-RHOTIC-LOW(Q)	huffyjTQ	hufyjTQ	hufyjTQ
ERHUA-0E2D073321A1BF4F	小曲儿	psc_erhua	xiao3 qu3 er5	ERHUA-YINYUAN-UMLAUT-CENTRAL	qu3	N21 M09 M09 M09	N21 M09 M24 M24	N21→2；M09→.；M24+rhotic=true+nasalized=false→M24→ERHUA-KEY-LOW(O)；M24+rhotic=true+nasalized=false→M24→ERHUA-KEY-LOW(O)	1lso2.OO	1lso2.O	1lso2.O
ERHUA-0ECEC09D04E0BA8E	衣兜儿	psc_erhua	yi1 dou1 er5	ERHUA-YINYUAN-IOU	dou1	N05 M13 M13 M04	N05 M13 R13 R16	N05→]；M13→r；M13+rhotic=true+nasalized=false→R13→ERHUA-KEY-BACK-MID-RHOTIC-HIGH(R)；M04+rhotic=true+nasalized=false→R16→ERHUA-KEY-U-RHOTIC-HIGH(P)	yjjj]rRP	yj]rRP	yj]rRP
ERHUA-117C4C6250769D4E	栅栏儿	psc_erhua	zha4 lan5 er5	ERHUA-YINYUAN-A-RHOTIC	lan5	N07 M11 M11 M29	N07 M11 R11 R11	N07→\；M11→d；M11+rhotic=true+nasalized=false→R11→ERHUA-KEY-A-RHOTIC-MID(D)；M11+rhotic=true+nasalized=false→R11→ERHUA-KEY-A-RHOTIC-MID(D)	7fds\dDD	7fds\dD	7fs\dD
ERHUA-1450A5233F0FC776	耳垂儿	psc_erhua	er3 chui2 er5	ERHUA-YINYUAN-U-CENTRAL	chui2	N17 M06 M17 M01	N17 M06 M23 M22	N17→8；M06→o；M23+rhotic=true+nasalized=false→M23→ERHUA-KEY-MID(I)；M22+rhotic=true+nasalized=false→M22→ERHUA-KEY-HIGH(U)	'OOO8oIU	'O8oIU	'O8oIU
ERHUA-1641A7EB7FB0B2E9	瓜瓤儿	psc_erhua	gua1 rang2 er5	ERHUA-YINYUAN-NASAL-A	rang2	N19 M12 M11 M31	N19 M12 R05 R04	N19→0；M12→s；M11+rhotic=true+nasalized=true→R05→ERHUA-KEY-NASAL-A-RHOTIC-MID(T)；M10+rhotic=true+nasalized=true→R04→ERHUA-KEY-NASAL-A-RHOTIC-HIGH(Y)	guff0sTY	guf0sTY	guf0sTY
ERHUA-1DEFF65C1917D263	胡同儿	psc_erhua	hu2 tong4 er5	ERHUA-YINYUAN-NASAL-BACK-MID	tong4	N06 M04 M14 M33	N06 M04 R08 R09	N06→t；M04→u；M14+rhotic=true+nasalized=true→R08→ERHUA-KEY-NASAL-BACK-MID-RHOTIC-MID(C)；M15+rhotic=true+nasalized=true→R09→ERHUA-KEY-NASAL-BACK-MID-RHOTIC-LOW(X)	hoiutuCX	hoiutuCX	houtuCX
ERHUA-1FFCD3E5FB517F0D	抽空儿	psc_erhua	chou1 kong4 er5	ERHUA-YINYUAN-NASAL-BACK-MID	kong4	N10 M04 M14 M33	N10 M04 R08 R09	N10→q；M04→u；M14+rhotic=true+nasalized=true→R08→ERHUA-KEY-NASAL-BACK-MID-RHOTIC-MID(C)；M15+rhotic=true+nasalized=true→R09→ERHUA-KEY-NASAL-BACK-MID-RHOTIC-LOW(X)	8rruquCX	8ruquCX	8ruquCX
ERHUA-23ED50C4C015869D	主角儿	psc_erhua	zhu3 jue2 er5	ERHUA-YINYUAN-FRONT-MID-CENTRAL	jue2	N20 M09 M17 M16	N20 M09 M23 M22	N20→3；M09→.；M23+rhotic=true+nasalized=false→M23→ERHUA-KEY-MID(I)；M22+rhotic=true+nasalized=false→M22→ERHUA-KEY-HIGH(U)	7ooo3.IU	7o3.IU	7o3.IU
