pinyin_tone	full
a1	'fff
a2	'sdf
a3	'sss
a4	'fds
a5	'ddd
ai1	'ffj
ai2	'sdj
ai3	'ssl
ai4	'fdl
an1	'ffa
an2	'sda
an3	'ssz
an4	'fdz
ang1	'ff;
ang2	'sd;
ang3	'ss/
ang4	'fd/
ao1	'ffu
ao2	'sdu
ao3	'sso
ao4	'fdo
ba1	bfff
ba2	bsdf
ba3	bsss
ba4	bfds
ba5	bddd
bai1	bffj
bai2	bsdj
bai3	bssl
bai4	bfdl
bai5	bddk
ban1	bffa
ban3	bssz
ban4	bfdz
ban5	bddN
bang1	bff;
bang3	bss/
bang4	bfd/
bao1	bffu
bao2	bsdu
bao3	bsso
bao4	bfdo
bei1	bvvj
bei3	bxxl
bei4	bvcl
bei5	bcck
ben1	bvva
ben3	bxxz
ben4	bvcz
beng1	brr;
beng2	bwe;
beng3	bww/
beng4	bre/
beng5	beeG
bi1	bjjj
bi2	blkj
bi3	blll
bi4	bjkl
bian1	bjfa
bian3	blsz
bian4	bjdz
bian5	bkdN
biang2	bld;
biang4	bjd/
biao1	bjfu
biao3	blso
biao4	bjdo
bie1	bjvv
bie2	blcv
bie3	blxx
bie4	bjcx
bin1	bjva
bin3	blxz
bin4	bjcz
bin5	bkcN
bing1	bjr;
bing3	blw/
bing4	bje/
bing5	bkeG
bo1	brrr
bo2	bwer
bo3	bwww
bo4	brew
bo5	beee
bong4	bue/
bu1	buuu
bu2	boiu
bu3	booo
bu4	buio
bu5	biii
ca1	5fff
ca3	5sss
ca4	5fds
cai1	5ffj
cai2	5sdj
cai3	5ssl
cai4	5fdl
cai5	5ddk
can1	5ffa
can2	5sda
can3	5ssz
can4	5fdz
cang1	5ff;
cang2	5sd;
cang3	5ss/
cang4	5fd/
cao1	5ffu
cao2	5sdu
cao3	5sso
cao4	5fdo
ce4	5rew
cei4	5vcl
cen1	5vva
cen2	5xca
ceng1	5rr;
ceng2	5we;
ceng4	5re/
cha1	8fff
cha2	8sdf
cha3	8sss
cha4	8fds
chai1	8ffj
chai2	8sdj
chai3	8ssl
chai4	8fdl
chan1	8ffa
chan2	8sda
chan3	8ssz
chan4	8fdz
chang1	8ff;
chang2	8sd;
chang3	8ss/
chang4	8fd/
chang5	8ddG
chao1	8ffu
chao2	8sdu
chao3	8sso
chao4	8fdo
che1	8rrr
che2	8wer
che3	8www
che4	8rew
che5	8eee
chen1	8vva
chen2	8xca
chen3	8xxz
